WordNumber     CommandType                          hexValue(hex)     byteOffset(hex)     BitOffset(int)
551            Empty or Unconfigured                0x00000000        0x0000089c          17632               
552            Empty or Unconfigured                0x00000000        0x000008a0          17664               
...            ...                                  0x...             0x...               ...                 
600            Data                                 0x0000331A        0x00000960          19200               
601            LOUT Write (End of Frame)            0x30010001        0x00000964          19232               
602            Data                                 0x00040A00        0x00000968          19264               
603            Data                                 0x30004031        0x0000096c          19296               
604            Empty or Unconfigured                0x00000000        0x00000970          19328               
605            Empty or Unconfigured                0x00000000        0x00000974          19360               
...            ...                                  0x...             0x...               ...                 
653            Data                                 0x0000331A        0x00000a34          20896               
654            LOUT Write (End of Frame)            0x30010001        0x00000a38          20928               
655            Data                                 0x00040C00        0x00000a3c          20960               
656            Data                                 0x30004031        0x00000a40          20992               
657            Empty or Unconfigured                0x00000000        0x00000a44          21024               
658            Empty or Unconfigured                0x00000000        0x00000a48          21056               
...            ...                                  0x...             0x...               ...                 
660            Data                                 0x00000200        0x00000a50          21120               
661            Empty or Unconfigured                0x00000000        0x00000a54          21152               
662            Empty or Unconfigured                0x00000000        0x00000a58          21184               
...            ...                                  0x...             0x...               ...                 
706            Data                                 0x00008670        0x00000b08          22592               
707            LOUT Write (End of Frame)            0x30010001        0x00000b0c          22624               
708            Data                                 0x00040E00        0x00000b10          22656               
709            Data                                 0x30004031        0x00000b14          22688               
710            Empty or Unconfigured                0x00000000        0x00000b18          22720               
711            Empty or Unconfigured                0x00000000        0x00000b1c          22752               
...            ...                                  0x...             0x...               ...                 
759            Data                                 0x0000331A        0x00000bdc          24288               
760            LOUT Write (End of Frame)            0x30010001        0x00000be0          24320               
761            Data                                 0x00041000        0x00000be4          24352               
762            Data                                 0x30004031        0x00000be8          24384               
763            Empty or Unconfigured                0x00000000        0x00000bec          24416               
764            Empty or Unconfigured                0x00000000        0x00000bf0          24448               
...            ...                                  0x...             0x...               ...                 
812            Data                                 0x0000331A        0x00000cb0          25984               
813            LOUT Write (End of Frame)            0x30010001        0x00000cb4          26016               
814            Data                                 0x00041200        0x00000cb8          26048               
815            Data                                 0x30004031        0x00000cbc          26080               
816            Empty or Unconfigured                0x00000000        0x00000cc0          26112               
817            Empty or Unconfigured                0x00000000        0x00000cc4          26144               
...            ...                                  0x...             0x...               ...                 
865            Data                                 0x0000331A        0x00000d84          27680               
866            LOUT Write (End of Frame)            0x30010001        0x00000d88          27712               
867            Data                                 0x00041400        0x00000d8c          27744               
868            Data                                 0x30004031        0x00000d90          27776               
869            Empty or Unconfigured                0x00000000        0x00000d94          27808               
870            Empty or Unconfigured                0x00000000        0x00000d98          27840               
...            ...                                  0x...             0x...               ...                 
918            Data                                 0x0000331A        0x00000e58          29376               
919            LOUT Write (End of Frame)            0x30010001        0x00000e5c          29408               
920            Data                                 0x00041600        0x00000e60          29440               
921            Data                                 0x30004031        0x00000e64          29472               
922            Empty or Unconfigured                0x00000000        0x00000e68          29504               
923            Empty or Unconfigured                0x00000000        0x00000e6c          29536               
...            ...                                  0x...             0x...               ...                 
925            Data                                 0x1A000000        0x00000e74          29600               
926            Empty or Unconfigured                0x00000000        0x00000e78          29632               
927            Empty or Unconfigured                0x00000000        0x00000e7c          29664               
...            ...                                  0x...             0x...               ...                 
971            Data                                 0x000096C5        0x00000f2c          31072               
972            LOUT Write (End of Frame)            0x30010001        0x00000f30          31104               
973            Data                                 0x00041800        0x00000f34          31136               
974            Data                                 0x30004031        0x00000f38          31168               
975            Empty or Unconfigured                0x00000000        0x00000f3c          31200               
976            Empty or Unconfigured                0x00000000        0x00000f40          31232               
...            ...                                  0x...             0x...               ...                 
1024           Data                                 0x0000331A        0x00001000          32768               
1025           LOUT Write (End of Frame)            0x30010001        0x00001004          32800               
1026           Data                                 0x00041A00        0x00001008          32832               
1027           Data                                 0x30004031        0x0000100c          32864               
